learning_rate,max_depth,min_child_weight,reg_lambda,best_iteration,best_mlogloss
0.02,2,100,10,39,1.987155678603143
0.02,2,50,10,39,1.9871642932283802
0.02,2,100,3,39,1.9872040016647254
0.02,2,50,3,39,1.9872143810898966
0.01,2,100,10,75,1.9879188828776282
0.01,2,50,10,75,1.9879286393227245
0.01,2,100,3,71,1.9879469257382252
0.01,2,50,3,71,1.9879542538339214
0.02,3,100,10,34,1.9935806295632068
0.02,3,50,10,34,1.9935857135600317
0.02,3,100,3,34,1.9936607655782381
0.02,3,50,3,34,1.9936628469043192
0.01,3,100,10,69,1.9937905527754027
0.01,3,50,10,69,1.9937922207951524
0.01,3,100,3,69,1.9938815181384306
0.01,3,50,3,69,1.9938836211718052
